"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","As at","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years and over","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years and over"
"1992Q4",30210,31110,30650,29810,29150,28520,27190,27050,26800,26470,26490,26760,27050,26650,25870,26200,27350,27360,28460,29200,30070,30300,29190,28850,27880,26570,26570,26690,27540,29160,29350,29400,29040,28340,27870,26890,27130,25790,25670,24670,24860,24350,24430,24430,24710,24480,23010,20600,19370,18110,18540,19030,18550,16870,15980,15310,14880,14050,14340,13910,14290,14560,14740,14400,14280,13810,13560,12970,12160,11610,11000,10350,10280,8010,7670,7150,7200,6310,6120,5480,4840,4160,3650,2990,2640,2150,1850,1360,1130,860,2410,28170,29230,29410,28620,27980,26690,26140,25880,25400,25080,24950,25300,25390,25610,25110,25630,26720,27050,28480,29250,30130,30570,29520,28980,28190,27810,27280,27410,28820,30180,30790,30830,30210,29230,28580,27740,27420,26720,26280,25420,25220,24360,24850,24180,24740,24770,22940,20980,19230,17910,18650,18950,18470,17090,15970,15490,15140,14050,14200,14000,14190,14480,14800,14360,14460,13900,14100,13790,13720,13110,13180,12790,13040,10550,10440,10170,10060,9210,9320,8420,7990,6730,6370,5750,5250,4160,3830,3260,2660,2240,7400
"1993Q1",29810,31220,30970,30020,29270,28950,27270,27150,26920,26560,26510,26600,27380,26820,26010,26100,27360,27260,28260,29300,29760,30260,29480,28810,28240,26690,26460,26700,27290,28820,29380,29700,28970,28700,27950,27290,26960,26220,25590,25120,24770,24490,24460,24490,24620,24390,24060,20920,19500,18720,17880,19200,19010,16990,16040,15450,14870,14280,14260,13900,14170,14390,14820,14420,14110,13840,13630,13080,12300,11600,10930,10620,10080,8590,7620,7080,7190,6370,6120,5490,4890,4280,3690,3000,2660,2210,1870,1440,1110,920,2440,28020,29100,29650,28820,28020,27320,26020,26080,25520,25190,24880,25080,25620,25750,25370,25320,26890,26800,28280,29200,29930,30430,29790,28930,28290,27700,27620,27450,28190,29780,31040,30860,30500,29340,28960,27970,27480,27080,26350,25720,25260,24660,24660,24410,24580,24680,24130,21000,19480,18520,17950,19190,18810,17110,16330,15480,15180,14360,14010,13960,14260,14120,14840,14520,14320,13960,14020,13820,13800,13130,13050,12990,12740,11340,10300,10000,10190,9230,9390,8400,8010,7010,6310,5820,5290,4310,3860,3330,2690,2290,7540
"1993Q2",30170,30730,31280,30180,29370,29090,27590,27200,26980,26850,26410,26570,27240,26880,26420,25990,27160,27350,27900,29100,29640,29970,29710,28540,28260,26990,26340,26350,27130,28650,29160,29670,29230,28800,28550,27150,27060,26450,25660,25500,24690,24590,24460,24530,24530,24460,24700,20880,19960,19310,17440,19240,18980,17710,16060,15550,14970,14390,14180,13920,14060,14230,14780,14370,14110,14060,13580,13010,12600,11480,11000,10710,9830,9210,7600,7030,7060,6490,6000,5650,4920,4260,3730,3100,2630,2230,1870,1480,1120,940,2490,28300,28650,29620,29220,28150,27610,25950,26270,25750,25310,24860,24980,25820,25550,25720,25150,26570,26740,27950,29090,29440,30300,30020,28680,28160,27920,27740,27360,27900,29610,30530,31170,30710,29520,29400,27980,27660,27210,26450,26120,25170,24950,24480,24770,24330,24710,24780,20920,20110,19010,17420,19220,19030,17630,16320,15540,15260,14590,13890,14060,14170,14110,14680,14550,14260,14240,13760,13770,13860,13140,12980,13040,12440,12160,10090,9990,10140,9370,9240,8580,7920,7260,6240,5830,5310,4450,3800,3330,2780,2340,7670
"1993Q3",30070,30630,31170,30500,29620,29330,28080,27300,27130,26800,26560,26510,27160,26940,26850,26020,26940,27260,27770,28780,29280,29970,29990,28400,28320,27260,26360,26350,27060,28220,29250,29590,29400,28970,28600,27560,27070,26830,25850,25720,24670,24830,24500,24450,24570,24640,24810,21630,20330,19290,17710,19010,18950,18140,16370,15750,15040,14550,14120,14100,13850,14150,14650,14420,14130,14030,13580,13130,12570,11610,11110,10650,9890,9810,7310,7090,6910,6620,5860,5710,4940,4340,3670,3180,2630,2200,1880,1520,1120,930,2480,28370,28320,29520,29430,28340,27940,26340,26360,25790,25420,25080,24840,25950,25400,25800,25140,26330,26670,27810,28650,29330,30140,30080,28810,28530,27840,27840,27390,27860,29150,30560,30990,31060,29780,29490,28340,27800,27380,26830,26270,25350,25080,24620,24760,24240,24710,25050,21660,20640,19020,17620,18880,19060,18060,16630,15780,15300,14910,13730,14060,14070,14060,14670,14570,14280,14090,13900,13750,13700,13330,12790,13140,12410,12810,9770,10040,9930,9580,8990,8740,7980,7410,6250,5730,5360,4600,3770,3330,2820,2290,7690
"1993Q4",30150,30310,31260,30810,29920,29290,28690,27340,27200,26970,26650,26660,26930,27230,26880,26110,26410,27520,27450,28540,29150,29760,29840,28760,28560,27760,26550,26640,26880,27930,29550,29590,29550,29230,28550,28070,27080,27280,25960,25820,24810,24970,24470,24510,24570,24820,24590,23080,20620,19370,18080,18500,18970,18490,16800,15870,15210,14770,13950,14230,13740,14150,14380,14550,14180,14020,13490,13250,12630,11810,11200,10590,9970,9800,7640,7240,6710,6750,5880,5650,5000,4430,3760,3240,2630,2260,1830,1580,1130,950,2530,28290,28270,29340,29520,28770,28130,26780,26260,26020,25530,25220,25140,25470,25580,25820,25310,25850,26900,27130,28520,29180,29770,30060,29170,28880,28290,28020,27580,27780,29230,30470,31080,31090,30430,29440,28770,27900,27600,26940,26460,25590,25340,24480,24960,24290,24830,24780,22940,21000,19230,17860,18610,18900,18440,17000,15890,15420,15080,13970,14110,13900,14090,14370,14630,14220,14290,13720,13880,13580,13480,12870,12940,12490,12750,10230,10090,9840,9690,8810,8910,7960,7530,6310,5910,5280,4780,3720,3400,2860,2330,7800
"1994Q1",29940,29960,31400,31170,30180,29430,29130,27450,27320,27090,26770,26720,26800,27590,27070,26300,26410,27540,27340,28410,29170,29460,29770,29070,28460,28050,26720,26470,26930,27680,29220,29640,29860,29170,28950,28190,27500,27110,26400,25780,25280,24920,24610,24580,24640,24750,24510,24140,20930,19510,18720,17850,19130,18930,16920,15970,15370,14770,14170,14150,13750,14030,14220,14630,14210,13850,13530,13300,12720,11970,11200,10540,10230,9650,8190,7220,6670,6760,5920,5660,5030,4490,3900,3280,2640,2270,1880,1590,1210,930,2620,28030,28160,29250,29780,28990,28180,27460,26140,26230,25680,25350,25070,25270,25830,25970,25610,25600,27060,26860,28360,29050,29610,29910,29430,28790,28400,27930,27960,27850,28630,30150,31370,31160,30750,29560,29160,28170,27680,27300,26560,25890,25410,24820,24780,24520,24690,24720,24110,21000,19490,18510,17900,19150,18760,17010,16260,15400,15110,14270,13940,13870,14150,14000,14690,14360,14140,13770,13820,13620,13580,12900,12790,12710,12420,11010,9980,9670,9850,8830,8970,7950,7550,6590,5880,5340,4830,3850,3430,2940,2370,8000
"1994Q2",29630,30300,30910,31480,30390,29540,29270,27760,27390,27160,27050,26630,26790,27470,27140,26710,26310,27380,27490,27970,29010,29310,29460,29260,28210,28050,26980,26430,26570,27530,29050,29500,29860,29410,29060,28820,27380,27240,26620,25890,25690,24870,24740,24600,24680,24690,24590,24800,20950,19980,19320,17410,19150,18910,17630,16000,15440,14870,14270,14060,13800,13900,14060,14590,14130,13820,13750,13250,12650,12250,11110,10620,10320,9440,8780,7190,6630,6630,6050,5550,5190,4510,3880,3330,2720,2280,1890,1590,1240,920,2670,27900,28400,28830,29770,29380,28330,27770,26080,26430,25920,25510,25060,25170,26010,25780,25980,25440,26790,26830,27990,28970,29040,29790,29620,28550,28230,28170,28140,27750,28360,30060,30890,31490,30980,29790,29630,28210,27890,27460,26690,26340,25340,25080,24640,24870,24440,24780,24770,20940,20110,19000,17400,19160,18970,17550,16230,15480,15170,14510,13800,13960,14050,13990,14540,14380,14090,14040,13560,13560,13660,12930,12710,12780,12120,11840,9770,9650,9790,8980,8810,8130,7490,6830,5810,5380,4860,3990,3380,2940,2420,8160
"1994Q3",29530,30200,30840,31340,30740,29830,29520,28280,27500,27360,27010,26800,26760,27450,27230,27140,26350,27170,27450,27890,28760,28950,29390,29520,28030,28070,27210,26500,26550,27470,28690,29620,29790,29580,29230,28880,27810,27270,27010,26100,25950,24870,25000,24670,24630,24790,24750,24930,21710,20370,19320,17680,18920,18880,18090,16300,15660,14910,14430,14020,13960,13680,14000,14460,14190,13850,13700,13250,12770,12200,11240,10730,10230,9490,9330,6920,6680,6470,6180,5430,5200,4500,3930,3290,2780,2290,1890,1580,1260,930,2610,27830,28480,28490,29700,29640,28550,28120,26500,26540,25980,25630,25280,25050,26150,25660,26050,25440,26540,26780,27850,28600,28970,29620,29630,28630,28550,28100,28290,27840,28300,29650,30980,31340,31350,30090,29770,28580,28060,27640,27070,26520,25560,25270,24820,24920,24350,24800,25050,21670,20650,19010,17600,18820,19000,17980,16540,15720,15240,14810,13650,13940,13970,13960,14530,14410,14120,13910,13690,13560,13510,13100,12540,12850,12100,12450,9430,9710,9590,9220,8590,8260,7540,6910,5840,5290,4900,4110,3360,2920,2430,8080
"1994Q4",29500,30300,30510,31450,31060,30150,29520,28910,27570,27460,27190,26890,26920,27220,27510,27200,26400,26650,27690,27620,28580,28830,29230,29340,28430,28280,27620,26640,26860,27310,28380,29950,29850,29780,29460,28830,28330,27310,27470,26240,26120,25020,25170,24660,24700,24780,24960,24710,23180,20660,19400,18090,18450,18890,18430,16720,15780,15080,14660,13830,14100,13610,13980,14190,14300,13860,13690,13150,12900,12240,11420,10840,10150,9560,9360,7240,6820,6270,6300,5460,5160,4550,4010,3390,2830,2280,1930,1560,1310,950,2670,27930,28430,28450,29540,29750,28990,28330,26990,26460,26220,25740,25460,25360,25710,25860,26080,25600,26090,27030,27200,28520,28910,29370,29720,28960,28870,28460,28400,28060,28250,29710,30920,31390,31410,30760,29750,29070,28200,27900,27210,26710,25830,25540,24680,25170,24420,24900,24840,22960,20980,19220,17840,18550,18830,18360,16910,15820,15350,15000,13900,14000,13780,13990,14240,14480,14060,14110,13530,13690,13390,13240,12600,12620,12190,12400,9910,9780,9460,9320,8420,8450,7500,7040,5830,5470,4840,4300,3300,2990,2460,8190
"1995Q1",29730,30110,30170,31630,31440,30450,29670,29380,27680,27610,27330,27010,27000,27090,27890,27390,26660,26710,27710,27590,28440,28830,28890,29190,28650,28140,27900,26780,26770,27370,28200,29680,30010,30130,29450,29270,28450,27740,27370,26650,26100,25500,25150,24840,24740,24840,24910,24650,24240,21000,19530,18720,17790,19050,18870,16860,15850,15240,14660,14060,14010,13620,13840,14030,14380,13900,13510,13180,12960,12380,11560,10870,10110,9780,9220,7770,6820,6280,6290,5500,5160,4570,4060,3510,2880,2300,1940,1590,1310,1010,2720,28120,28180,28360,29470,30020,29250,28410,27690,26360,26450,25880,25630,25330,25540,26110,26260,25960,25840,27170,26980,28340,28840,29130,29560,29160,28760,28630,28310,28480,28370,29180,30650,31730,31470,31090,29930,29490,28480,27980,27590,26810,26140,25630,24990,25000,24690,24770,24790,24150,20990,19460,18480,17850,19090,18700,16930,16190,15340,15050,14210,13830,13760,14060,13880,14550,14200,13980,13590,13640,13420,13310,12640,12470,12380,12080,10690,9640,9310,9490,8420,8540,7480,7060,6090,5420,4870,4350,3420,2990,2550,8340
