"CPI Non-standard All Groups Less/Plus Selected Groupings for New Zealand (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","All groups less credit services subgroup","All groups less central and local government charges","All groups plus interest","All groups less food group","All groups less alcoholic beverages and tobacco group","All groups less clothing and footwear group","All groups less housing and household utilities group","All groups less household contents and services group","All groups less health group","All groups less transport group","All groups less communication group","All groups less recreation and culture group","All groups less education group","All groups less miscellaneous goods and services group","All groups less housing and household utilities group and credit services subgroup","All groups less purchasing of new housing class","All groups less household energy subgroup and vehicles fuels","All groups less vehicle fuels","All groups less food group and vehicle fuels","All groups less petrol class","All groups less food group, household energy subgroup and vehicle fuels","All groups less International travel","All groups less alcoholic beverages subgroup","All groups less cigarettes and tobacco subgroup","All groups less rentals for housing subgroup","All groups less food group, household energy subgroup, vehicle fuels, & government charges"
"1996Q3",650.035964,686.881050,709.385651,677.355506,690.881172,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"1996Q4",654.320569,691.374663,714.654997,681.713492,695.371578,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"1997Q1",655.544743,688.164939,712.678992,678.600645,692.805631,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"1997Q2",657.381002,688.164939,713.337660,679.223214,693.447117,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"1997Q3",661.665609,691.374663,716.631002,682.336060,696.013065,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"1997Q4",664.726042,695.226333,720.583010,686.694047,699.861985,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"1998Q1",666.562302,695.226333,721.900347,686.071477,701.144958,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"1998Q2",668.398562,698.436057,725.193688,689.184324,703.710905,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"1998Q3",672.683168,701.645783,729.145696,691.052033,705.635366,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"1998Q4",672.071081,695.868279,723.217684,684.203770,699.220498,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"1999Q1",673.295254,692.658554,721.241678,680.468353,696.654552,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"1999Q2",676.355687,693.300498,722.559015,683.581200,697.937525,667.205170,727.506427,666.666667,683.306056,668.261563,661.858974,653.418124,681.669394,682.487725,726.027397,697.194719,701.639344,689.935065,698.268755,689.683184,713.450292,674.493927,677.524430,697.751873,674.856675,724.196277
"1999Q3",679.061110,693.300498,724.004133,687.682687,700.729275,669.628433,729.220223,669.087974,684.942717,669.059011,665.865385,656.597774,684.124386,684.942717,727.739726,699.669967,702.459016,690.746753,700.741962,690.495532,715.121136,676.923077,679.967427,700.249792,677.313677,722.504230
"1999Q4",681.090178,695.380400,724.726692,690.417012,702.125150,671.243942,731.790917,671.509282,687.397709,668.261563,667.467949,658.187599,685.761047,687.397709,730.308219,701.320132,702.459016,691.558442,701.566364,690.495532,716.791980,678.542510,682.410423,701.915071,678.951679,724.196277
"2000Q1",685.148311,699.540203,731.229723,693.834918,706.312775,676.090468,736.075407,675.544794,691.489362,673.046252,672.275641,662.957075,689.852700,691.489362,734.589041,705.445545,705.737705,694.805195,703.215169,694.557271,718.462824,684.210526,686.482085,706.078268,683.865684,725.042301
"2000Q2",689.882801,705.086607,738.455313,699.987148,710.500400,680.936995,742.930591,681.194512,696.399345,677.033493,677.083333,668.521463,694.762684,696.399345,741.438356,710.396040,710.655738,698.863636,708.985985,698.619009,724.310777,687.449393,691.368078,709.408826,688.779689,731.810491
"2000Q3",700.028136,715.486114,750.738817,710.240867,718.177713,690.630048,754.927164,690.879742,706.219313,684.210526,686.698718,678.060413,704.582651,706.219313,753.424658,721.122112,717.213115,705.357143,715.581204,705.117790,730.994152,697.975709,701.140065,717.735221,699.426699,738.578680
"2000Q4",707.468049,724.499021,757.964407,717.760260,726.552963,698.707593,764.353042,698.143664,714.402619,690.590112,694.711538,686.009539,712.765957,715.220949,763.698630,729.372937,725.409836,713.474026,723.000824,713.241267,739.348371,705.263158,709.283388,726.061615,707.616708,747.038917
"2001Q1",706.791693,727.272223,757.241848,712.975191,724.459151,697.899838,767.780634,696.529459,713.584288,692.982456,693.910256,685.214626,711.947627,712.765957,766.267123,727.722772,727.868852,715.097403,721.352020,714.865963,736.842105,705.263158,708.469055,723.563697,710.892711,750.423012
"2001Q2",712.878894,734.205228,760.854643,719.127423,730.740589,703.554120,775.492716,702.179177,719.312602,695.374801,699.519231,690.779014,717.675941,719.312602,774.828767,734.323432,731.967213,719.155844,725.474031,718.927701,741.854637,709.311741,714.169381,730.224813,717.444717,756.345178
"2001Q3",716.937029,739.058332,763.744879,721.178166,734.230276,707.592892,780.634105,706.214689,723.404255,702.551834,704.326923,694.753577,721.767594,723.404255,779.965753,739.273927,737.704918,724.837662,729.596043,725.426483,746.031746,714.170040,717.426710,734.388010,721.539722,759.729272
"2001Q4",720.995163,742.524834,765.189997,723.228910,738.417901,710.823910,784.918595,710.250202,726.677578,707.336523,707.532051,697.933227,725.859247,726.677578,784.246575,742.574257,745.081967,731.331169,734.542457,731.112916,751.879699,717.408907,721.498371,738.551207,725.634726,766.497462
"2002Q1",725.053297,745.991337,767.357674,726.646815,741.907589,715.670436,788.346187,715.092817,730.769231,712.918660,711.538462,702.702703,729.950900,731.587561,787.671233,746.699670,749.180328,736.201299,738.664468,735.987002,755.221387,722.267206,725.570033,741.881765,729.729730,769.035533
"2002Q2",732.493209,754.310943,775.305823,736.216952,749.584902,722.940226,796.915167,722.356739,738.134206,716.905901,718.750000,709.856916,737.315876,738.952537,796.232877,754.125413,754.098361,741.883117,746.084089,740.861089,761.904762,728.744939,732.899023,750.208160,737.100737,776.649746
"2002Q3",735.874988,756.390844,780.363736,740.318439,752.376652,726.171244,799.485861,725.585149,741.407529,721.690590,721.955128,713.036566,740.589198,742.225859,797.945205,757.425743,758.196721,745.129870,750.206101,744.922827,766.081871,731.983806,735.342020,753.538718,740.376740,780.033841
"2002Q4",741.285833,761.243948,785.421649,746.470670,757.960152,731.825525,803.770351,731.234867,746.317512,725.677831,727.564103,717.806041,745.499182,747.135843,803.082192,762.376238,763.114754,750.811688,756.801319,750.609261,772.765246,735.222672,741.042345,758.534555,746.109746,786.802030
"2003Q1",743.991256,764.017149,787.589327,749.204995,760.751902,734.248788,805.484147,734.463277,748.772504,728.070175,729.967949,720.985692,747.954173,749.590835,804.794521,764.026403,764.754098,752.435065,758.450124,751.421608,774.436090,739.271255,744.299674,761.032473,748.566749,788.494078
"2003Q2",743.314901,764.017149,787.589327,749.888577,760.053964,734.248788,802.056555,733.656174,748.772504,732.057416,729.967949,720.985692,747.954173,748.772504,801.369863,763.201320,767.213115,754.870130,761.747733,753.858652,777.777778,739.271255,743.485342,761.032473,747.747748,791.878173
"2003Q3",746.696679,764.710450,787.589327,752.622901,762.845714,738.287561,801.199657,736.884584,752.045827,737.639553,733.173077,724.165342,751.227496,751.227496,800.513699,764.851485,767.213115,756.493506,763.396538,755.483347,777.777778,744.939271,745.928339,763.530391,750.204750,790.186125
